id,label,level,parent,mixs_extension,env_broad,env_local,env_medium,host_taxon,anatomical_site,other,interpretation
GOLDTERMS:5482,Engineered > Bioreactor > Anaerobic > Sludge,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002044,,,ENVO:00002124,equivalent
GOLDTERMS:5567,Engineered > Bioreactor > Anaerobic > Sludge > Manure,5,GOLDTERMS:5482,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:03501300,,,ENVO:00002124,equivalent
GOLDTERMS:5699,Engineered > Bioreactor > Anaerobic > Sludge > Palm oil,5,GOLDTERMS:5482,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,FOODON:03310232,,,ENVO:00002124,equivalent
GOLDTERMS:Engineered-Bioreactor-Anaerobic-Soft-drink-wastewater,Engineered > Bioreactor > Anaerobic > Soft drink wastewater,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002124,subclass
GOLDTERMS:5641,Engineered > Bioreactor > Anaerobic > Soft drink wastewater > Biofilm,5,GOLDTERMS:Engineered-Bioreactor-Anaerobic-Soft-drink-wastewater,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002034,subclass
GOLDTERMS:5679,Engineered > Bioreactor > Anaerobic > Wastewater,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002001,,,ENVO:00002124,equivalent
GOLDTERMS:4283,Engineered > Bioreactor > Continuous culture,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:5843,Engineered > Bioreactor > Continuous culture > Freshwater sediment inoculum,4,GOLDTERMS:4283,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:4860,Engineered > Bioreactor > Continuous culture > Marine intertidal flat sediment inoculum,4,GOLDTERMS:4283,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:4853,Engineered > Bioreactor > Continuous culture > Marine sediment inoculum,4,GOLDTERMS:4283,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:5604,Engineered > Bioreactor > Continuous culture > Tailings pond sludge,4,GOLDTERMS:4283,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:Engineered-Bioreactor-DHS-reactor,Engineered > Bioreactor > DHS reactor,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:5836,Engineered > Bioreactor > DHS reactor > Sludge,4,GOLDTERMS:Engineered-Bioreactor-DHS-reactor,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002044,,,ENVO:00002123,subclass
GOLDTERMS:5838,Engineered > Bioreactor > DHS reactor > Wastewater,4,GOLDTERMS:Engineered-Bioreactor-DHS-reactor,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002001,,,ENVO:00002123,subclass
GOLDTERMS:Engineered-Bioreactor-Membrane-bioreactor,Engineered > Bioreactor > Membrane bioreactor,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:03600010,equivalent
GOLDTERMS:Engineered-Bioreactor-Membrane-bioreactor-Produced-water,Engineered > Bioreactor > Membrane bioreactor > Produced water,4,GOLDTERMS:Engineered-Bioreactor-Membrane-bioreactor,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:03600010,subclass
GOLDTERMS:5506,Engineered > Bioreactor > Membrane bioreactor > Produced water > Sludge,5,GOLDTERMS:Engineered-Bioreactor-Membrane-bioreactor-Produced-water,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002044,,,ENVO:03600010,subclass
GOLDTERMS:5549,Engineered > Bioreactor > Membrane bioreactor > Wastewater retentate,4,GOLDTERMS:Engineered-Bioreactor-Membrane-bioreactor,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:03600010,subclass
GOLDTERMS:Engineered-Bioreactor-Passive-bioreactor,Engineered > Bioreactor > Passive bioreactor,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:5560,Engineered > Bioreactor > Passive bioreactor > Acid mine drainage material,4,GOLDTERMS:Engineered-Bioreactor-Passive-bioreactor,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:Engineered-Bioreactor-Photobioreactor,Engineered > Bioreactor > Photobioreactor,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:03600077,equivalent
GOLDTERMS:5846,Engineered > Bioreactor > Photobioreactor > Biofilm,4,GOLDTERMS:Engineered-Bioreactor-Photobioreactor,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002034,equivalent
GOLDTERMS:5637,Engineered > Bioreactor > Sulphur Autotrophic Denitrification,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:5662,Engineered > Bioreactor > Sulphur Autotrophic Denitrification > Interstitial water,4,GOLDTERMS:5637,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:03600009,,,ENVO:00002123,subclass
GOLDTERMS:5828,Engineered > Bioreactor > Wastewater,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002001,,,ENVO:00002123,equivalent
GOLDTERMS:5681,Engineered > Bioreactor > Wastewater > Activated sludge,4,GOLDTERMS:5828,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002001,,,ENVO:00002123,subclass
GOLDTERMS:5684,Engineered > Bioreactor > Wastewater > Cyanide/thiocyanate,4,GOLDTERMS:5828,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002001,,,ENVO:00002123,subclass
GOLDTERMS:5602,Engineered > Bioreactor > Wastewater > Sludge,4,GOLDTERMS:5828,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002044,,,ENVO:00002123,equivalent
GOLDTERMS:4304,Engineered > Bioremediation,2,GOLDTERMS:4292,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4300,Engineered > Bioremediation > Hydrocarbon,3,GOLDTERMS:4304,MIXS:HydrocarbonResourcesCores,ENVO:01000313,,,,,,subclass
GOLDTERMS:Engineered-Bioremediation-Hydrocarbon-Asphalt-lakes,Engineered > Bioremediation > Hydrocarbon > Asphalt-lakes,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,ENVO:00000165,,,,,subclass
GOLDTERMS:5647,Engineered > Bioremediation > Hydrocarbon > Asphalt-lakes > Tar,5,GOLDTERMS:Engineered-Bioremediation-Hydrocarbon-Asphalt-lakes,MIXS:HydrocarbonResourcesCores,ENVO:01000313,ENVO:00000165,ENVO:01000460,,,,subclass
GOLDTERMS:Engineered-Bioremediation-Hydrocarbon-Benzene,Engineered > Bioremediation > Hydrocarbon > Benzene,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,,,,,,subclass
GOLDTERMS:4299,Engineered > Bioremediation > Hydrocarbon > Benzene > Bioreactor,5,GOLDTERMS:Engineered-Bioremediation-Hydrocarbon-Benzene,MIXS:HydrocarbonResourcesCores,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:5643,Engineered > Bioremediation > Hydrocarbon > Coal,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,,ENVO:02000091,,,,subclass
GOLDTERMS:Engineered-Bioremediation-Hydrocarbon-Coal-mine,Engineered > Bioremediation > Hydrocarbon > Coal mine,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,ENVO:00002169,,,,,subclass
GOLDTERMS:5651,Engineered > Bioremediation > Hydrocarbon > Coal mine > Coal,5,GOLDTERMS:Engineered-Bioremediation-Hydrocarbon-Coal-mine,MIXS:HydrocarbonResourcesCores,ENVO:01000313,ENVO:00002169,ENVO:02000091,,,,subclass
GOLDTERMS:5650,Engineered > Bioremediation > Hydrocarbon > Coal mine > Produced water,5,GOLDTERMS:Engineered-Bioremediation-Hydrocarbon-Coal-mine,MIXS:HydrocarbonResourcesCores,ENVO:01000313,ENVO:00002169,,,,,subclass
GOLDTERMS:5686,Engineered > Bioremediation > Hydrocarbon > Marine sediment,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,,ENVO:03000033,,,,subclass
GOLDTERMS:4452,Engineered > Bioremediation > Hydrocarbon > Methane,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,,,,,,subclass
GOLDTERMS:5645,Engineered > Bioremediation > Hydrocarbon > Wastewater,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,,ENVO:00002001,,,,subclass
GOLDTERMS:5087,Engineered > Bioremediation > Hydrocarbon > Xylene,4,GOLDTERMS:4300,MIXS:HydrocarbonResourcesCores,ENVO:01000313,,,,,,subclass
GOLDTERMS:4306,Engineered > Bioremediation > Metal,3,GOLDTERMS:4304,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,ENVO:01001069,,,,subclass
GOLDTERMS:4724,Engineered > Bioremediation > Persistent organic pollutants (POP),3,GOLDTERMS:4304,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4305,Engineered > Bioremediation > Persistent organic pollutants (POP) > Polycyclic aromatic hydrocarbons,4,GOLDTERMS:4724,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4722,Engineered > Bioremediation > Terephthalate,3,GOLDTERMS:4304,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4303,Engineered > Bioremediation > Terephthalate > Wastewater,4,GOLDTERMS:4722,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,ENVO:00002001,,,,subclass
GOLDTERMS:4301,Engineered > Bioremediation > Terephthalate > Wastewater > Activated sludge,5,GOLDTERMS:4303,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,ENVO:00002001,,,,subclass
GOLDTERMS:4302,Engineered > Bioremediation > Terephthalate > Wastewater > Bioreactor,5,GOLDTERMS:4303,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002001,,,ENVO:00002123,subclass
GOLDTERMS:Engineered-Bioremediation-Tetrachloroethylene-and-derivatives,Engineered > Bioremediation > Tetrachloroethylene and derivatives,3,GOLDTERMS:4304,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4298,Engineered > Bioremediation > Tetrachloroethylene and derivatives > Chloroethene,4,GOLDTERMS:Engineered-Bioremediation-Tetrachloroethylene-and-derivatives,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4297,Engineered > Bioremediation > Tetrachloroethylene and derivatives > Chloroethene > Bioreactor,5,GOLDTERMS:4298,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:4296,Engineered > Bioremediation > Tetrachloroethylene and derivatives > Tetrachloroethylene,4,GOLDTERMS:Engineered-Bioremediation-Tetrachloroethylene-and-derivatives,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4295,Engineered > Bioremediation > Tetrachloroethylene and derivatives > Tetrachloroethylene > Bioreactor,5,GOLDTERMS:4296,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,subclass
GOLDTERMS:4436,Engineered > Bioremediation > Thiocyanate,3,GOLDTERMS:4304,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:5498,Engineered > Bioremediation > Thiocyanate > Biofilm,4,GOLDTERMS:4436,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,ENVO:00002034,subclass
GOLDTERMS:4314,Engineered > Biotransformation,2,GOLDTERMS:4292,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:5395,Engineered > Biotransformation > Coal,3,GOLDTERMS:4314,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,ENVO:02000091,,,,subclass
GOLDTERMS:4313,Engineered > Biotransformation > Microbial enhanced oil recovery,3,GOLDTERMS:4314,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4312,Engineered > Biotransformation > Microbial solubilization of coal,3,GOLDTERMS:4314,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4315,Engineered > Biotransformation > Mixed alcohol bioreactor,3,GOLDTERMS:4314,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4279,Engineered > Built environment,2,GOLDTERMS:4292,MIXS:BuiltEnvironment,ENVO:01000313,,,,,,equivalent
GOLDTERMS:5572,Engineered > Built environment > Building,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00000073,,,,,equivalent
GOLDTERMS:4401,Engineered > Built environment > Canal,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00000014,,,,,equivalent
GOLDTERMS:Engineered-Built-environment-Canal-Irrigation-canal,Engineered > Built environment > Canal > Irrigation canal,4,GOLDTERMS:4401,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00000036,,,,,equivalent
GOLDTERMS:5111,Engineered > Built environment > Canal > Irrigation canal > Sediment,5,GOLDTERMS:Engineered-Built-environment-Canal-Irrigation-canal,MIXS:Sediment,ENVO:01000313,ENVO:00000036,ENVO:00002007,,,,equivalent
GOLDTERMS:5562,Engineered > Built environment > Canal > Water,4,GOLDTERMS:4401,MIXS:Water,ENVO:01000313,ENVO:00000014,ENVO:00002006,,,,equivalent
GOLDTERMS:4812,Engineered > Built environment > Cement wall,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:4403,Engineered > Built environment > City,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00000856,,,,,equivalent
GOLDTERMS:4398,Engineered > Built environment > City > Park,4,GOLDTERMS:4403,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00000562,,,,,equivalent
GOLDTERMS:4396,Engineered > Built environment > City > Subway,4,GOLDTERMS:4403,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501109,,,,,equivalent
GOLDTERMS:5464,Engineered > Built environment > City > Subway > Bench surface,5,GOLDTERMS:4396,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501109,,,,,subclass
GOLDTERMS:5465,Engineered > Built environment > City > Subway > Concrete surface,5,GOLDTERMS:4396,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501109,,,,,subclass
GOLDTERMS:5462,Engineered > Built environment > City > Subway > Metal surface,5,GOLDTERMS:4396,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501109,,,,,subclass
GOLDTERMS:5466,Engineered > Built environment > City > Subway > Plastic surface,5,GOLDTERMS:4396,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501109,,,,,subclass
GOLDTERMS:5467,Engineered > Built environment > City > Subway > Stone surface,5,GOLDTERMS:4396,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501109,,,,,subclass
GOLDTERMS:5463,Engineered > Built environment > City > Subway > Wooden surface,5,GOLDTERMS:4396,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501109,,,,,subclass
GOLDTERMS:Engineered-Built-environment-Coal-mine,Engineered > Built environment > Coal mine,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00002169,,,,,equivalent
GOLDTERMS:5704,Engineered > Built environment > Coal mine > Produced water,4,GOLDTERMS:Engineered-Built-environment-Coal-mine,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00002169,,,,,subclass
GOLDTERMS:5715,Engineered > Built environment > Dairy processing facility,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:Engineered-Built-environment-Drinking-water-treatment-plant,Engineered > Built environment > Drinking water treatment plant,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03600004,,,,,equivalent
GOLDTERMS:5500,Engineered > Built environment > Drinking water treatment plant > Drinking water,4,GOLDTERMS:Engineered-Built-environment-Drinking-water-treatment-plant,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03600004,ENVO:00003064,,,,equivalent
GOLDTERMS:5493,Engineered > Built environment > Drinking water treatment plant > Drinking water filter,4,GOLDTERMS:Engineered-Built-environment-Drinking-water-treatment-plant,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03600004,,,,,subclass
GOLDTERMS:Engineered-Built-environment-Fermentation-pit,Engineered > Built environment > Fermentation pit,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03600039,,,,,equivalent
GOLDTERMS:5452,Engineered > Built environment > Fermentation pit > Mud,4,GOLDTERMS:Engineered-Built-environment-Fermentation-pit,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03600039,ENVO:01000001,,,,equivalent
GOLDTERMS:4494,Engineered > Built environment > Hospital,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00002173,,,,,equivalent
GOLDTERMS:Engineered-Built-environment-Hospital-Hospital-bedroom,Engineered > Built environment > Hospital > Hospital bedroom,4,GOLDTERMS:4494,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00002173,,,,,subclass
GOLDTERMS:5490,Engineered > Built environment > Hospital > Hospital bedroom > Room surface,5,GOLDTERMS:Engineered-Built-environment-Hospital-Hospital-bedroom,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00002173,,,,,subclass
GOLDTERMS:Engineered-Built-environment-Hospital-ICU,Engineered > Built environment > Hospital > ICU,4,GOLDTERMS:4494,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501152,,,,,equivalent
GOLDTERMS:5574,Engineered > Built environment > Hospital > ICU > Floor,5,GOLDTERMS:Engineered-Built-environment-Hospital-ICU,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:03501152,,,,,subclass
GOLDTERMS:4405,Engineered > Built environment > House,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:01000417,,,,,equivalent
GOLDTERMS:4847,Engineered > Built environment > House > Doormat,4,GOLDTERMS:4405,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:01000417,,,,,subclass
GOLDTERMS:5534,Engineered > Built environment > House > Dust,4,GOLDTERMS:4405,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:01000417,ENVO:00002008,,,,equivalent
GOLDTERMS:4659,Engineered > Built environment > International Space Station,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,,,,,,subclass
GOLDTERMS:Engineered-Built-environment-Mine,Engineered > Built environment > Mine,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00000076,,,,,equivalent
GOLDTERMS:5841,Engineered > Built environment > Mine > Oil sands,4,GOLDTERMS:Engineered-Built-environment-Mine,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:00000076,ENVO:03600013,,,,equivalent
GOLDTERMS:Engineered-Built-environment-Nuclear-test-reactor,Engineered > Built environment > Nuclear test reactor,3,GOLDTERMS:4279,MIXS:BuiltEnvironment,ENVO:01000313,ENVO:02000136,,,,,equivalent
